"PM10","AQI","temp","Latitude","Longitude","windspeed","state","county","City.Name","type_of_day","type_of_day01"
70,58,80.708333,35.345607,-118.851825,3.370833,"California","Kern","Not in a city","Unhealthy air quality",0
24,22,62.883333,35.356615,-119.062613,2.0125,"California","Kern","Bakersfield","Healthy air quality",1
22,20,59.404167,35.356615,-119.062613,2.0875,"California","Kern","Bakersfield","Healthy air quality",1
20,19,52.945833,35.356615,-119.062613,2.620833,"California","Kern","Bakersfield","Healthy air quality",1
27,25,47.8875,35.356615,-119.062613,1.35,"California","Kern","Bakersfield","Healthy air quality",1
43,40,50.066667,35.356615,-119.062613,1.175,"California","Kern","Bakersfield","Healthy air quality",1
57,52,52.233333,35.356615,-119.062613,1.0125,"California","Kern","Bakersfield","Unhealthy air quality",0
50,46,54.766667,35.356615,-119.062613,1.225,"California","Kern","Bakersfield","Healthy air quality",1
52,48,55.958333,35.356615,-119.062613,1.1125,"California","Kern","Bakersfield","Healthy air quality",1
65,56,56.266667,35.356615,-119.062613,1.595833,"California","Kern","Bakersfield","Unhealthy air quality",0
61,54,56.245833,35.356615,-119.062613,1.470833,"California","Kern","Bakersfield","Unhealthy air quality",0
41,38,57.008333,35.356615,-119.062613,1.620833,"California","Kern","Bakersfield","Healthy air quality",1
20,19,53.995833,35.356615,-119.062613,3.033333,"California","Kern","Bakersfield","Healthy air quality",1
14,13,52.054167,35.356615,-119.062613,2.075,"California","Kern","Bakersfield","Healthy air quality",1
14,13,51.445833,35.356615,-119.062613,1.795833,"California","Kern","Bakersfield","Healthy air quality",1
19,18,56.225,35.356615,-119.062613,1.666667,"California","Kern","Bakersfield","Healthy air quality",1
22,20,53.379167,35.356615,-119.062613,3.4875,"California","Kern","Bakersfield","Healthy air quality",1
27,25,51.891667,35.356615,-119.062613,1.9625,"California","Kern","Bakersfield","Healthy air quality",1
32,30,53.945833,35.356615,-119.062613,1.183333,"California","Kern","Bakersfield","Healthy air quality",1
36,33,55.508333,35.356615,-119.062613,1.308333,"California","Kern","Bakersfield","Healthy air quality",1
35,32,51.904167,35.356615,-119.062613,4.054167,"California","Kern","Bakersfield","Healthy air quality",1
21,19,52.170833,35.356615,-119.062613,1.7375,"California","Kern","Bakersfield","Healthy air quality",1
41,38,55.129167,35.356615,-119.062613,2.066667,"California","Kern","Bakersfield","Healthy air quality",1
46,43,57.6875,35.356615,-119.062613,1.966667,"California","Kern","Bakersfield","Healthy air quality",1
47,44,57.975,35.356615,-119.062613,2.225,"California","Kern","Bakersfield","Healthy air quality",1
47,44,53.883333,35.356615,-119.062613,2.079167,"California","Kern","Bakersfield","Healthy air quality",1
54,50,55.4375,35.356615,-119.062613,2.0375,"California","Kern","Bakersfield","Healthy air quality",1
47,44,51.675,35.356615,-119.062613,2.120833,"California","Kern","Bakersfield","Healthy air quality",1
40,37,57.354167,35.356615,-119.062613,3.133333,"California","Kern","Bakersfield","Healthy air quality",1
30,28,65.141667,35.356615,-119.062613,3.8125,"California","Kern","Bakersfield","Healthy air quality",1
