"PM10","AQI","temp","Latitude","Longitude","windspeed","state","county","City.Name"
40,37,46.125,36.705474,-119.741332,2.15,"California","Fresno","Not in a city"
59,53,51.291667,36.705474,-119.741332,1.820833,"California","Fresno","Not in a city"
19,18,50.208333,36.705474,-119.741332,2.083333,"California","Fresno","Not in a city"
24,22,53,36.705474,-119.741332,6.775,"California","Fresno","Not in a city"
56,51,58.875,36.705474,-119.741332,2.2125,"California","Fresno","Not in a city"
7,6,47.833333,36.705474,-119.741332,3.308333,"California","Fresno","Not in a city"
24,22,52.291667,36.705474,-119.741332,1.6125,"California","Fresno","Not in a city"
37,34,56.375,36.705474,-119.741332,6.733333,"California","Fresno","Not in a city"
32,30,65.208333,36.705474,-119.741332,4.525,"California","Fresno","Not in a city"
25,23,61.25,36.705474,-119.741332,5.1,"California","Fresno","Not in a city"
31,29,62.458333,36.705474,-119.741332,4.566667,"California","Fresno","Not in a city"
36,33,65.291667,36.705474,-119.741332,4.870833,"California","Fresno","Not in a city"
41,38,65.791667,36.705474,-119.741332,4.391667,"California","Fresno","Not in a city"
34,31,67.708333,36.705474,-119.741332,3.016667,"California","Fresno","Not in a city"
56,51,76.541667,36.705474,-119.741332,2.754167,"California","Fresno","Not in a city"
38,35,75.958333,36.705474,-119.741332,4.845833,"California","Fresno","Not in a city"
22,20,67.333333,36.705474,-119.741332,2.720833,"California","Fresno","Not in a city"
27,25,64.5,36.705474,-119.741332,4.479167,"California","Fresno","Not in a city"
24,22,75.541667,36.705474,-119.741332,4.779167,"California","Fresno","Not in a city"
34,31,86.25,36.705474,-119.741332,4.479167,"California","Fresno","Not in a city"
31,29,64.5,36.705474,-119.741332,7.358333,"California","Fresno","Not in a city"
30,28,76.791667,36.705474,-119.741332,6.841667,"California","Fresno","Not in a city"
48,44,85.541667,36.705474,-119.741332,4.283333,"California","Fresno","Not in a city"
41,38,90.916667,36.705474,-119.741332,4.195833,"California","Fresno","Not in a city"
34,31,84.708333,36.705474,-119.741332,4.308333,"California","Fresno","Not in a city"
54,50,95.166667,36.705474,-119.741332,4.554167,"California","Fresno","Not in a city"
40,37,84.458333,36.705474,-119.741332,4.758333,"California","Fresno","Not in a city"
30,28,85.958333,36.705474,-119.741332,4.754167,"California","Fresno","Not in a city"
58,52,88.041667,36.705474,-119.741332,4.1375,"California","Fresno","Not in a city"
48,44,83.125,36.705474,-119.741332,4.675,"California","Fresno","Not in a city"
60,53,84.875,36.705474,-119.741332,3.866667,"California","Fresno","Not in a city"
75,61,87.416667,36.705474,-119.741332,3.283333,"California","Fresno","Not in a city"
144,95,78.208333,36.705474,-119.741332,2.283333,"California","Fresno","Not in a city"
63,55,81.708333,36.705474,-119.741332,3.675,"California","Fresno","Not in a city"
