SiteLocDate,pm.scale,avgpm,AQI,wind.scale,avgtemp,County.Code,Latitude,Longitude,temp.scale,avgwind,state,county,City.Name
7.2021-01-10,Micrograms/cubic meter (25 C),40,37,Degrees Fahrenheit,46.125,19,36.705474,-119.741332,Knots,2.15,California,Fresno,Not in a city
7.2021-01-16,Micrograms/cubic meter (25 C),59,53,Degrees Fahrenheit,51.291667,19,36.705474,-119.741332,Knots,1.820833,California,Fresno,Not in a city
7.2021-02-21,Micrograms/cubic meter (25 C),19,18,Degrees Fahrenheit,50.208333,19,36.705474,-119.741332,Knots,2.083333,California,Fresno,Not in a city
7.2021-02-27,Micrograms/cubic meter (25 C),24,22,Degrees Fahrenheit,53,19,36.705474,-119.741332,Knots,6.775,California,Fresno,Not in a city
7.2021-03-05,Micrograms/cubic meter (25 C),56,51,Degrees Fahrenheit,58.875,19,36.705474,-119.741332,Knots,2.2125,California,Fresno,Not in a city
7.2021-03-11,Micrograms/cubic meter (25 C),7,6,Degrees Fahrenheit,47.833333,19,36.705474,-119.741332,Knots,3.308333,California,Fresno,Not in a city
7.2021-03-17,Micrograms/cubic meter (25 C),24,22,Degrees Fahrenheit,52.291667,19,36.705474,-119.741332,Knots,1.6125,California,Fresno,Not in a city
7.2021-03-23,Micrograms/cubic meter (25 C),37,34,Degrees Fahrenheit,56.375,19,36.705474,-119.741332,Knots,6.733333,California,Fresno,Not in a city
7.2021-03-29,Micrograms/cubic meter (25 C),32,30,Degrees Fahrenheit,65.208333,19,36.705474,-119.741332,Knots,4.525,California,Fresno,Not in a city
7.2021-04-04,Micrograms/cubic meter (25 C),25,23,Degrees Fahrenheit,61.25,19,36.705474,-119.741332,Knots,5.1,California,Fresno,Not in a city
7.2021-04-10,Micrograms/cubic meter (25 C),31,29,Degrees Fahrenheit,62.458333,19,36.705474,-119.741332,Knots,4.566667,California,Fresno,Not in a city
7.2021-04-16,Micrograms/cubic meter (25 C),36,33,Degrees Fahrenheit,65.291667,19,36.705474,-119.741332,Knots,4.870833,California,Fresno,Not in a city
7.2021-04-22,Micrograms/cubic meter (25 C),41,38,Degrees Fahrenheit,65.791667,19,36.705474,-119.741332,Knots,4.391667,California,Fresno,Not in a city
7.2021-04-28,Micrograms/cubic meter (25 C),34,31,Degrees Fahrenheit,67.708333,19,36.705474,-119.741332,Knots,3.016667,California,Fresno,Not in a city
7.2021-05-04,Micrograms/cubic meter (25 C),56,51,Degrees Fahrenheit,76.541667,19,36.705474,-119.741332,Knots,2.754167,California,Fresno,Not in a city
7.2021-05-10,Micrograms/cubic meter (25 C),38,35,Degrees Fahrenheit,75.958333,19,36.705474,-119.741332,Knots,4.845833,California,Fresno,Not in a city
7.2021-05-16,Micrograms/cubic meter (25 C),22,20,Degrees Fahrenheit,67.333333,19,36.705474,-119.741332,Knots,2.720833,California,Fresno,Not in a city
7.2021-05-22,Micrograms/cubic meter (25 C),27,25,Degrees Fahrenheit,64.5,19,36.705474,-119.741332,Knots,4.479167,California,Fresno,Not in a city
7.2021-05-28,Micrograms/cubic meter (25 C),24,22,Degrees Fahrenheit,75.541667,19,36.705474,-119.741332,Knots,4.779167,California,Fresno,Not in a city
7.2021-06-03,Micrograms/cubic meter (25 C),34,31,Degrees Fahrenheit,86.25,19,36.705474,-119.741332,Knots,4.479167,California,Fresno,Not in a city
7.2021-06-09,Micrograms/cubic meter (25 C),31,29,Degrees Fahrenheit,64.5,19,36.705474,-119.741332,Knots,7.358333,California,Fresno,Not in a city
7.2021-06-15,Micrograms/cubic meter (25 C),30,28,Degrees Fahrenheit,76.791667,19,36.705474,-119.741332,Knots,6.841667,California,Fresno,Not in a city
7.2021-06-21,Micrograms/cubic meter (25 C),48,44,Degrees Fahrenheit,85.541667,19,36.705474,-119.741332,Knots,4.283333,California,Fresno,Not in a city
7.2021-06-27,Micrograms/cubic meter (25 C),41,38,Degrees Fahrenheit,90.916667,19,36.705474,-119.741332,Knots,4.195833,California,Fresno,Not in a city
7.2021-07-03,Micrograms/cubic meter (25 C),34,31,Degrees Fahrenheit,84.708333,19,36.705474,-119.741332,Knots,4.308333,California,Fresno,Not in a city
7.2021-07-09,Micrograms/cubic meter (25 C),54,50,Degrees Fahrenheit,95.166667,19,36.705474,-119.741332,Knots,4.554167,California,Fresno,Not in a city
7.2021-07-15,Micrograms/cubic meter (25 C),40,37,Degrees Fahrenheit,84.458333,19,36.705474,-119.741332,Knots,4.758333,California,Fresno,Not in a city
7.2021-07-21,Micrograms/cubic meter (25 C),30,28,Degrees Fahrenheit,85.958333,19,36.705474,-119.741332,Knots,4.754167,California,Fresno,Not in a city
7.2021-07-27,Micrograms/cubic meter (25 C),58,52,Degrees Fahrenheit,88.041667,19,36.705474,-119.741332,Knots,4.1375,California,Fresno,Not in a city
7.2021-08-02,Micrograms/cubic meter (25 C),48,44,Degrees Fahrenheit,83.125,19,36.705474,-119.741332,Knots,4.675,California,Fresno,Not in a city
7.2021-08-08,Micrograms/cubic meter (25 C),60,53,Degrees Fahrenheit,84.875,19,36.705474,-119.741332,Knots,3.866667,California,Fresno,Not in a city
7.2021-08-14,Micrograms/cubic meter (25 C),75,61,Degrees Fahrenheit,87.416667,19,36.705474,-119.741332,Knots,3.283333,California,Fresno,Not in a city
7.2021-08-20,Micrograms/cubic meter (25 C),144,95,Degrees Fahrenheit,78.208333,19,36.705474,-119.741332,Knots,2.283333,California,Fresno,Not in a city
7.2021-08-26,Micrograms/cubic meter (25 C),63,55,Degrees Fahrenheit,81.708333,19,36.705474,-119.741332,Knots,3.675,California,Fresno,Not in a city
7.2021-09-01,Micrograms/cubic meter (25 C),70,58,Degrees Fahrenheit,80.708333,29,35.345607,-118.851825,Knots,3.370833,California,Kern,Not in a city
7.2021-09-07,Micrograms/cubic meter (25 C),125,86,Degrees Fahrenheit,87.916667,19,36.705474,-119.741332,Knots,4.566667,California,Fresno,Not in a city
7.2021-09-13,Micrograms/cubic meter (25 C),65,56,Degrees Fahrenheit,83.208333,19,36.705474,-119.741332,Knots,2.245833,California,Fresno,Not in a city
7.2021-09-19,Micrograms/cubic meter (25 C),33,31,Degrees Fahrenheit,71.208333,19,36.705474,-119.741332,Knots,6.225,California,Fresno,Not in a city
7.2021-09-25,Micrograms/cubic meter (25 C),149,98,Degrees Fahrenheit,78,19,36.705474,-119.741332,Knots,2.454167,California,Fresno,Not in a city
7.2021-10-01,Micrograms/cubic meter (25 C),127,87,Degrees Fahrenheit,72.782609,19,36.705474,-119.741332,Knots,1.873913,California,Fresno,Not in a city
7.2021-10-07,Micrograms/cubic meter (25 C),71,59,Degrees Fahrenheit,68.291667,19,36.705474,-119.741332,Knots,3.658333,California,Fresno,Not in a city
7.2021-10-13,Micrograms/cubic meter (25 C),64,55,Degrees Fahrenheit,58.5,19,36.705474,-119.741332,Knots,2.8375,California,Fresno,Not in a city
