"Month","Day","Year","Date","Victims_Killed","Victims_Wounded","Number_Victims","Media_Attention","Quarter","State","School_Level","During_School","Time_Period","Age","Weapon_Type","AgeGroup"
11,18,2022,"11/18/2022",0,0,0,"Regional","Fall","DC","High School","Yes","Afternoon Classes",NA,"Handgun",NA
11,17,2022,"11/17/2022",0,1,1,"National","Fall","IN","High School","Yes","Morning Classes","Adult","Handgun","Adult"
11,16,2022,"11/16/2022",0,1,1,"Regional","Fall","NC","High School","No","Sport Event","Adult","Handgun","Adult"
11,15,2022,"11/15/2022",1,0,1,"Local","Fall","TN","High School","No","Evening","Adult","Handgun","Adult"
11,15,2022,"11/15/2022",0,2,2,"Local","Fall","LA","Elementary","Yes","Afternoon Classes","Adult","Multiple Handguns","Adult"
11,15,2022,"11/15/2022",0,2,2,"Local","Fall","LA","Elementary","Yes","Afternoon Classes","Teen","Multiple Handguns","Teen"
11,12,2022,"11/12/2022",1,2,3,"Regional","Fall","FL","High School","No","Sport Event","Teen","Handgun","Teen"
11,11,2022,"11/11/2022",0,1,1,"Local","Fall","MS","High School","No","Sport Event",NA,"Handgun",NA
11,9,2022,"11/9/2022",0,0,0,"Regional","Fall","KY","Elementary","No","Sport Event","37","Handgun","Adult"
11,6,2022,"11/6/2022",0,0,0,"Local","Fall","VA","Elementary","No","Not a School Day","Adult","Handgun","Adult"
11,5,2022,"11/5/2022",0,1,1,"National","Fall","TX","Elementary","No","Not a School Day","Adult","Handgun","Adult"
11,4,2022,"11/4/2022",0,0,0,"National","Fall","KY","High School","Yes","Morning Classes","20","Handgun","Adult"
11,2,2022,"11/2/2022",0,0,0,"Regional","Fall","DC","Middle school","Yes","Morning Classes","Teen","Handgun","Teen"
10,29,2022,"10/29/2022",0,1,1,"Local","Fall","TX","Elementary","No","Evening","Teen","Handgun","Teen"
10,29,2022,"10/29/2022",0,0,0,"Regional","Fall","CO","Middle school","No","Sport Event","65","Handgun","Adult"
10,28,2022,"10/28/2022",0,0,0,"Regional","Fall","NC","High School","No","Sport Event","20","Handgun","Adult"
10,28,2022,"10/28/2022",0,0,0,"Regional","Fall","TX","High School","No","Morning Classes","Teen","Handgun","Teen"
10,28,2022,"10/28/2022",0,0,0,"Local","Fall","AR","K-12th","Yes","Dismissal","12","Other","Teen"
10,26,2022,"10/26/2022",0,1,1,"National","Fall","IL","Middle school","Yes","Afternoon Classes",NA,"Handgun",NA
10,25,2022,"10/25/2022",0,0,0,"Regional","Fall","PA","Elementary","Yes","Afternoon Classes","Adult","Handgun","Adult"
10,25,2022,"10/25/2022",0,1,1,"Regional","Fall","NY","High School","Yes","Dismissal","Teen","Handgun","Teen"
10,24,2022,"10/24/2022",2,7,9,"International","Fall","MO","High School","Yes","Morning Classes","19","Rifle","Adult"
10,21,2022,"10/21/2022",0,1,1,"Local","Fall","OH","High School","Yes","After School","Adult","Handgun","Adult"
10,21,2022,"10/21/2022",1,0,1,"Local","Fall","CA","High School","No","Sport Event","Adult","Handgun","Adult"
10,20,2022,"10/20/2022",0,0,0,"Local","Fall","CO","Elementary","No","Sport Event","Adult","Other","Adult"
10,20,2022,"10/20/2022",0,1,1,"Regional","Fall","PA","High School","Yes","Lunch","Adult","Handgun","Adult"
10,17,2022,"10/17/2022",0,0,0,"Local","Fall","CA","Middle school","Yes","Morning Classes",NA,"Other",NA
10,17,2022,"10/17/2022",0,0,0,"Local","Fall","FL","Middle school","Yes","Morning Classes","Adult","Handgun","Adult"
10,14,2022,"10/14/2022",0,0,0,"Local","Fall","LA","Middle school","No","Night",NA,"Handgun",NA
10,14,2022,"10/14/2022",0,1,1,"Local","Fall","NC","High School","No","Sport Event","Adult","Rifle","Adult"
10,14,2022,"10/14/2022",0,1,1,"Local","Fall","NC","High School","No","Sport Event","Adult","Handgun","Adult"
10,14,2022,"10/14/2022",0,1,1,"Local","Fall","NC","High School","No","Sport Event","Adult","Rifle","Adult"
10,14,2022,"10/14/2022",0,1,1,"Local","Fall","NC","High School","No","Sport Event","Adult","Handgun","Adult"
10,14,2022,"10/14/2022",1,1,2,"Regional","Fall","VA","Elementary","Yes","Afternoon Classes","Adult","Handgun","Adult"
